userId,active_days,matches_played,total_distance,total_calories,current_streak,friends_count,churn
user_1,6.0,3.0,31842.020238500907,4139.359117777528,3.0,13,0
user_10,3.0,0.0,2423.5635818530923,365.1534071080513,0.0,15,1
user_100,6.0,3.0,28390.229821483448,5530.275315964388,1.0,8,0
user_101,2.0,1.0,1996.4743538421571,523.2428159865253,1.0,24,1
user_102,2.0,1.0,1404.5743831040643,349.0460798798969,0.0,20,1
user_103,4.0,1.0,2556.9510389252364,549.5108484504362,1.0,2,1
user_104,2.0,0.0,2968.9889145509223,635.8977597135839,1.0,30,1
user_105,2.0,0.0,2175.200374814039,275.10211531598685,0.0,17,1
user_106,2.0,0.0,1569.424969711003,231.40410775868745,2.0,6,1
user_107,2.0,3.0,2881.392704990862,644.2569836839807,0.0,25,1
user_108,1.0,0.0,315.75863202298325,69.77587185408257,0.0,3,1
user_109,1.0,1.0,248.5437858199992,105.02153938743847,0.0,27,1
user_11,2.0,1.0,1144.8465245974917,295.7273127754685,0.0,4,1
user_110,3.0,1.0,3296.0670547410155,225.60524907261185,2.0,28,1
user_111,1.0,1.0,1744.7743496977896,410.9321695592998,0.0,28,1
user_112,1.0,1.0,578.9060003204269,148.14995726804685,0.0,13,1
user_113,5.0,4.0,32954.601434264514,3728.5681538054705,0.0,15,0
user_114,2.0,0.0,3245.3832199543167,471.91601805457583,0.0,15,1
user_115,6.0,7.0,35513.25112667267,5471.776604062607,0.0,4,0
user_116,4.0,2.0,2598.6679424981694,487.9781782892317,1.0,3,1
user_117,5.0,5.0,25226.23068224202,3840.707296242199,2.0,11,0
user_118,5.0,5.0,27357.026468253214,4383.757787072325,3.0,5,0
user_119,3.0,0.0,2321.551812233358,358.82961739282416,2.0,27,1
user_12,2.0,2.0,3761.436325681085,511.1787401253806,0.0,16,1
user_120,1.0,0.0,798.4435243819225,119.39736318983316,0.0,28,1
user_121,4.0,4.0,24833.790947055677,3412.8748330102335,2.0,5,0
user_122,1.0,1.0,818.4049005611695,191.94196965153424,0.0,23,1
user_123,6.0,3.0,23257.32525743761,3028.5435191167935,4.0,2,0
user_124,1.0,0.0,148.0828104802016,94.40704422110544,0.0,24,1
user_125,6.0,6.0,30112.67030783583,4456.995124892619,6.0,22,0
user_126,2.0,2.0,1026.133801592353,238.34125176308868,1.0,8,1
user_127,5.0,2.0,33231.42593748032,5383.713307001001,1.0,15,0
user_128,4.0,2.0,3269.1259151035697,574.6209075627984,0.0,29,1
user_129,6.0,6.0,46083.62451085897,4757.190656285577,5.0,28,0
user_13,1.0,0.0,360.0438428958999,0.149533510440919,0.0,17,1
user_130,6.0,7.0,43188.926753707216,5008.472510038043,4.0,1,0
user_131,3.0,2.0,2257.219372443027,393.9496348378339,0.0,0,1
user_132,2.0,2.0,1816.7611192540376,300.79787144691903,1.0,19,1
user_133,7.0,6.0,45876.30692868709,4876.837295638682,7.0,19,0
user_134,3.0,0.0,3638.010407856283,579.8234430272299,1.0,29,1
user_135,6.0,2.0,31797.11182014455,5201.904927606635,3.0,18,0
user_136,1.0,0.0,13.49599090687853,182.9416905241771,0.0,22,1
user_137,6.0,5.0,35237.18889282321,5205.35406165096,0.0,29,0
user_138,2.0,1.0,1000.5396474758982,296.7240021959466,1.0,21,1
user_139,6.0,5.0,37504.8677625203,4522.950046482659,0.0,6,0
user_14,1.0,1.0,741.7667756831909,168.35572886118442,1.0,1,1
user_140,4.0,1.0,2799.852073030791,481.5995753809041,0.0,18,1
user_141,7.0,9.0,48971.872636556196,6269.569373327326,7.0,3,0
user_142,7.0,3.0,27290.154674303147,3381.827967258848,7.0,10,0
user_143,5.0,7.0,44678.721790652446,5225.683442730818,4.0,3,0
user_144,7.0,2.0,31459.05902783476,4568.571910652694,7.0,11,0
user_145,4.0,2.0,1447.3942236091275,546.2036346023826,0.0,22,1
user_146,1.0,0.0,220.73703708909648,232.52991974913814,1.0,7,1
user_147,2.0,2.0,2455.6875987025924,285.25688213847445,0.0,30,1
user_148,7.0,7.0,45952.645155650775,6838.48157665903,7.0,12,0
user_149,5.0,7.0,42779.54364812452,5878.696390730527,2.0,8,0
user_15,2.0,2.0,623.6495132857887,112.23800439140952,0.0,2,1
user_150,1.0,1.0,321.7273952328882,199.28562180189914,0.0,27,1
user_16,1.0,0.0,1242.6122055234316,156.15701016596228,1.0,6,1
user_17,3.0,0.0,3051.9152226164906,417.7982383249666,1.0,19,1
user_18,4.0,2.0,3758.3238686110744,523.7305224488105,3.0,26,1
user_19,2.0,0.0,2376.0847696671726,272.3922272930296,0.0,6,1
user_2,1.0,1.0,1572.4786901575865,364.8463973495924,0.0,29,1
user_20,6.0,2.0,48209.26910939403,4782.385702850346,2.0,10,0
user_21,2.0,0.0,703.4009318759207,207.5006313849025,0.0,25,1
user_22,2.0,0.0,970.2663632140059,307.58225167946557,0.0,23,1
user_23,2.0,0.0,1217.6677113403189,249.72025418627382,0.0,10,1
user_24,4.0,2.0,2991.386445420299,365.56960231398176,3.0,26,1
user_25,1.0,1.0,474.24217473048054,51.490167932407125,0.0,9,1
user_26,3.0,1.0,3020.777601069805,484.7979481393796,1.0,20,1
